기간	행정구역별	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2020.1/4	구로구	한국인	405,837	13,998	15,873	14,546	16,509	24,036	31,561	30,445	33,774	30,942	33,146	31,436	32,228	30,960	23,080	18,037	12,868	7,559	3,230	1,144	300	165
2020.1/4	구로구	등록외국인	32,471	1,111	942	529	305	832	1,534	3,145	2,919	2,633	3,460	4,756	6,052	3,204	715	198	58	49	17	8	4	-
2020.1/4	금천구	계	251,370	7,075	7,674	7,117	8,778	15,108	22,565	19,833	19,057	16,965	20,559	22,871	24,789	20,471	13,578	10,249	7,542	4,273	1,885	628	183	170
2020.1/4	금천구	한국인	232,583	6,366	7,039	6,813	8,633	14,745	21,772	18,117	17,406	15,511	18,398	19,924	21,188	18,723	13,195	10,138	7,511	4,259	1,871	625	180	169
2020.1/4	금천구	등록외국인	18,787	709	635	304	145	363	793	1,716	1,651	1,454	2,161	2,947	3,601	1,748	383	111	31	14	14	3	3	1
2020.1/4	영등포구	계	404,766	13,927	13,759	11,815	13,825	22,797	37,140	37,281	35,513	29,531	32,469	32,975	34,830	29,531	19,772	15,336	11,546	7,495	3,430	1,167	356	271
2020.1/4	영등포구	한국인	371,903	12,909	12,723	11,224	13,490	22,058	35,716	34,215	32,648	26,944	28,979	28,041	28,483	26,207	19,051	15,118	11,478	7,443	3,404	1,151	350	271
2020.1/4	영등포구	등록외국인	32,863	1,018	1,036	591	335	739	1,424	3,066	2,865	2,587	3,490	4,934	6,347	3,324	721	218	68	52	26	16	6	-
2020.1/4	동작구	계	407,802	12,293	14,153	13,185	16,310	31,555	40,085	33,056	32,298	29,489	32,097	30,572	30,946	28,385	20,540	16,726	12,690	7,862	3,535	1,352	368	305
2020.1/4	동작구	한국인	395,014	12,074	13,965	13,077	16,030	28,427	38,198	31,904	31,495	28,858	31,320	29,485	29,517	27,574	20,360	16,672	12,667	7,844	3,528	1,349	368	302
2020.1/4	동작구	등록외국인	12,788	219	188	108	280	3,128	1,887	1,152	803	631	777	1,087	1,429	811	180	54	23	18	7	3	-	3
2020.1/4	관악구	계	516,662	11,673	13,447	13,335	17,458	41,539	70,235	50,604	41,239	34,598	38,187	36,449	37,169	34,065	25,663	20,777	15,829	8,837	3,610	1,290	349	309
2020.1/4	관악구	한국인	499,374	11,205	13,043	13,104	17,230	40,240	68,103	48,473	39,752	33,466	36,794	34,471	34,646	32,673	25,342	20,680	15,801	8,816	3,595	1,283	348	309
2020.1/4	관악구	등록외국인	17,288	468	404	231	228	1,299	2,132	2,131	1,487	1,132	1,393	1,978	2,523	1,392	321	97	28	21	15	7	1	-
2020.1/4	서초구	계	434,801	14,443	21,526	22,611	23,301	25,747	31,309	31,267	36,074	37,573	41,922	34,110	29,463	27,123	19,991	16,121	10,754	6,341	3,116	1,377	413	219
2020.1/4	서초구	한국인	430,568	14,339	21,323	22,459	23,202	25,529	30,803	30,667	35,497	37,082	41,503	33,790	29,170	26,978	19,935	16,101	10,740	6,332	3,113	1,374	413	218
2020.1/4	서초구	등록외국인	4,233	104	203	152	99	218	506	600	577	491	419	320	293	145	56	20	14	9	3	3	-	1
2020.1/4	강남구	계	549,898	14,971	23,751	28,543	31,613	34,275	42,563	41,188	45,476	47,544	53,662	44,237	36,414	33,059	25,483	20,091	13,231	7,510	3,790	1,723	494	280
2020.1/4	강남구	한국인	544,804	14,909	23,679	28,488	31,525	33,828	41,603	40,212	44,801	47,065	53,302	43,924	36,130	32,877	25,406	20,058	13,215	7,501	3,788	1,720	494	279
2020.1/4	강남구	등록외국인	5,094	62	72	55	88	447	960	976	675	479	360	313	284	182	77	33	16	9	2	3	-	1
2020.1/4	송파구	계	680,883	24,020	29,230	28,731	32,164	41,725	54,819	55,614	59,929	54,058	57,525	53,379	52,215	47,935	34,129	23,731	15,362	8,968	4,637	1,915	516	281
2020.1/4	송파구	한국인	674,095	23,845	29,025	28,614	32,105	41,414	54,152	54,671	59,093	53,501	56,866	52,633	51,353	47,477	34,014	23,691	15,342	8,955	4,634	1,913	516	281
2020.1/4	송파구	등록외국인	6,788	175	205	117	59	311	667	943	836	557	659	746	862	458	115	40	20	13	3	2	-	-
2020.1/4	강동구	계	457,042	15,668	19,279	18,804	20,920	27,077	34,148	33,182	38,549	35,993	38,021	36,102	37,588	35,310	25,011	17,766	11,599	6,679	3,318	1,420	367	241
2020.1/4	강동구	한국인	452,646	15,549	19,166	18,739	20,855	26,866	33,732	32,650	38,062	35,598	37,602	35,588	36,981	34,984	24,935	17,735	11,587	6,674	3,317	1,419	367	240
2020.1/4	강동구	등록외국인	4,396	119	113	65	65	211	416	532	487	395	419	514	607	326	76	31	12	5	1	1	-	1
2020.2/4	합계	계	9,985,652	292,868	367,054	374,594	435,678	679,209	853,920	758,324	791,034	744,652	843,017	807,516	782,265	720,564	517,488	397,583	301,837	184,459	85,574	32,377	9,083	6,556
2020.2/4	합계	한국인	9,720,846	285,920	360,318	370,357	430,020	642,527	822,973	729,356	767,508	725,682	821,942	781,385	750,956	704,561	512,957	395,923	301,176	184,046	85,359	32,294	9,052	6,534
2020.2/4	합계	등록외국인	264,806	6,948	6,736	4,237	5,658	36,682	30,947	28,968	23,526	18,970	21,075	26,131	31,309	16,003	4,531	1,660	661	413	215	83	31	22
2020.2/4	종로구	계	160,520	3,468	4,717	5,202	6,716	14,092	14,168	10,999	10,720	10,498	13,253	13,428	13,379	11,677	8,373	6,742	5,935	3,904	1,927	772	283	267
2020.2/4	종로구	한국인	150,383	3,346	4,550	5,091	6,218	10,710	12,736	10,106	10,040	9,888	12,753	12,886	12,776	11,297	8,259	6,681	5,914	3,892	1,920	770	283	267
2020.2/4	종로구	등록외국인	10,137	122	167	111	498	3,382	1,432	893	680	610	500	542	603	380	114	61	21	12	7	2	-	-
2020.2/4	중구	계	136,030	3,703	3,936	3,309	4,319	9,688	12,121	11,193	11,103	9,403	10,376	11,032	11,463	10,349	7,516	5,836	4,890	3,157	1,574	664	200	198
2020.2/4	중구	한국인	126,092	3,449	3,648	3,108	4,023	7,784	10,781	10,186	10,207	8,717	9,671	10,339	10,600	9,884	7,344	5,761	4,840	3,135	1,560	660	198	197
2020.2/4	중구	등록외국인	9,938	254	288	201	296	1,904	1,340	1,007	896	686	705	693	863	465	172	75	50	22	14	4	2	1
2020.2/4	용산구	계	245,362	7,143	8,122	7,810	9,209	14,930	21,265	21,007	21,347	18,458	20,667	19,872	18,920	16,962	11,900	9,435	7,949	5,610	2,801	1,169	421	365
2020.2/4	용산구	한국인	229,431	6,581	7,330	7,212	8,752	13,806	19,461	18,872	19,252	16,704	19,230	18,709	17,949	16,408	11,642	9,307	7,895	5,583	2,793	1,165	417	363
2020.2/4	용산구	등록외국인	15,931	562	792	598	457	1,124	1,804	2,135	2,095	1,754	1,437	1,163	971	554	258	128	54	27	8	4	4	2
2020.2/4	성동구	계	304,851	10,677	10,716	9,451	11,698	21,926	26,578	24,872	26,339	22,453	24,470	24,791	24,306	21,569	14,677	11,381	9,244	5,715	2,594	911	239	244
2020.2/4	성동구	한국인	297,397	10,526	10,583	9,379	11,422	20,171	25,458	24,125	25,757	22,006	24,013	24,214	23,677	21,240	14,571	11,341	9,231	5,707	2,588	910	237	241
2020.2/4	성동구	등록외국인	7,454	151	133	72	276	1,755	1,120	747	582	447	457	577	629	329	106	40	13	8	6	1	2	3
2020.2/4	광진구	계	363,925	9,435	11,905	12,357	14,948	29,636	37,973	30,976	28,655	25,810	29,372	29,453	28,471	25,477	17,042	12,646	9,702	5,990	2,608	977	280	212
2020.2/4	광진구	한국인	349,574	9,071	11,568	12,167	14,519	26,584	35,984	29,562	27,603	25,056	28,507	28,201	26,868	24,688	16,872	12,596	9,685	5,976	2,601	976	279	211
2020.2/4	광진구	등록외국인	14,351	364	337	190	429	3,052	1,989	1,414	1,052	754	865	1,252	1,603	789	170	50	17	14	7	1	1	1
2020.2/4	동대문구	계	360,380	10,226	11,660	11,176	13,971	31,953	33,063	25,825	27,255	24,853	27,811	27,730	27,500	26,540	19,575	15,383	12,787	7,697	3,482	1,216	375	302
2020.2/4	동대문구	한국인	345,593	10,016	11,485	11,072	13,594	26,153	29,973	24,475	26,514	24,296	27,297	27,130	26,801	26,171	19,461	15,339	12,774	7,681	3,472	1,212	375	302
2020.2/4	동대문구	등록외국인	14,787	210	175	104	377	5,800	3,090	1,350	741	557	514	600	699	369	114	44	13	16	10	4	-	-
2020.2/4	중랑구	계	399,415	11,131	12,857	12,539	15,194	24,624	32,492	29,202	30,406	27,540	31,555	34,680	36,235	33,323	23,529	17,654	13,352	7,880	3,454	1,236	333	199
2020.2/4	중랑구	한국인	394,414	10,943	12,692	12,428	15,097	24,168	31,863	28,465	29,889	27,158	31,161	34,230	35,736	33,059	23,462	17,620	13,347	7,878	3,450	1,236	333	199
2020.2/4	중랑구	등록외국인	5,001	188	165	111	97	456	629	737	517	382	394	450	499	264	67	34	5	2	4	-	-	-
2020.2/4	성북구	계	452,290	13,208	17,187	17,443	21,483	36,515	36,466	29,751	33,286	32,607	39,634	36,768	33,715	31,405	22,834	18,498	15,276	9,582	4,272	1,587	397	376
2020.2/4	성북구	한국인	441,812	13,036	17,021	17,342	21,097	32,749	34,393	28,641	32,593	32,142	39,228	36,356	33,367	31,196	22,748	18,461	15,252	9,569	4,263	1,587	396	375
2020.2/4	성북구	등록외국인	10,478	172	166	101	386	3,766	2,073	1,110	693	465	406	412	348	209	86	37	24	13	9	-	1	1
2020.2/4	강북구	계	315,395	7,187	9,647	10,162	12,715	20,764	23,595	19,300	21,380	21,797	26,798	26,919	26,973	25,820	19,517	16,318	13,668	7,954	3,168	1,134	333	246
2020.2/4	강북구	한국인	311,773	7,109	9,579	10,127	12,645	20,268	23,053	18,803	21,016	21,519	26,553	26,615	26,642	25,626	19,459	16,283	13,656	7,949	3,164	1,131	332	244
2020.2/4	강북구	등록외국인	3,622	78	68	35	70	496	542	497	364	278	245	304	331	194	58	35	12	5	4	3	1	2
2020.2/4	도봉구	계	331,744	8,516	11,298	11,788	14,799	21,397	23,595	19,875	22,860	22,243	27,831	29,033	29,074	28,651	20,177	15,282	12,260	7,704	3,560	1,316	313	172
2020.2/4	도봉구	한국인	329,560	8,457	11,265	11,761	14,764	21,142	23,261	19,521	22,603	22,075	27,644	28,855	28,917	28,563	20,145	15,270	12,257	7,701	3,559	1,315	313	172
2020.2/4	도봉구	등록외국인	2,184	59	33	27	35	255	334	354	257	168	187	178	157	88	32	12	3	3	1	1	-	-
2020.2/4	노원구	계	533,041	14,575	20,366	24,383	30,663	39,613	36,152	31,112	36,149	38,934	49,738	46,684	42,127	38,909	27,743	20,703	16,519	10,727	5,274	1,903	494	273
2020.2/4	노원구	한국인	528,887	14,495	20,308	24,355	30,490	38,463	35,441	30,626	35,781	38,679	49,523	46,453	41,916	38,798	27,698	20,688	16,508	10,724	5,273	1,902	494	272
2020.2/4	노원구	등록외국인	4,154	80	58	28	173	1,150	711	486	368	255	215	231	211	111	45	15	11	3	1	1	-	1
2020.2/4	은평구	계	483,938	13,701	17,293	18,083	21,632	30,115	37,179	32,918	37,322	36,167	41,990	39,639	38,263	36,364	26,665	21,608	17,249	10,729	4,532	1,629	446	414
2020.2/4	은평구	한국인	479,524	13,579	17,193	18,008	21,493	29,812	36,665	32,297	36,816	35,775	41,616	39,246	37,828	36,116	26,569	21,569	17,221	10,712	4,523	1,626	446	414
2020.2/4	은평구	등록외국인	4,414	122	100	75	139	303	514	621	506	392	374	393	435	248	96	39	28	17	9	3	-	-
2020.2/4	서대문구	계	324,224	9,461	11,344	11,059	13,871	26,443	29,591	23,045	24,045	22,628	26,416	25,920	24,576	22,357	15,963	13,290	11,312	7,643	3,372	1,246	357	285
2020.2/4	서대문구	한국인	312,720	9,352	11,174	10,885	13,416	23,011	27,151	21,898	23,326	22,094	25,887	25,476	24,068	21,974	15,761	13,171	11,247	7,600	3,349	1,242	354	284
2020.2/4	서대문구	등록외국인	11,504	109	170	174	455	3,432	2,440	1,147	719	534	529	444	508	383	202	119	65	43	23	4	3	1
2020.2/4	마포구	계	384,957	12,357	13,861	13,946	15,579	28,605	37,666	33,579	33,990	30,065	33,086	29,016	26,378	23,135	16,266	13,342	11,308	7,341	3,487	1,249	373	328
2020.2/4	마포구	한국인	374,390	12,205	13,675	13,793	15,321	26,122	35,551	32,295	33,064	29,388	32,544	28,472	25,841	22,785	16,075	13,256	11,266	7,320	3,477	1,243	371	326
2020.2/4	마포구	등록외국인	10,567	152	186	153	258	2,483	2,115	1,284	926	677	542	544	537	350	191	86	42	21	10	6	2	2
2020.2/4	양천구	계	462,034	12,824	20,275	24,605	26,963	29,965	31,366	27,591	32,867	36,641	44,209	40,829	37,122	32,953	23,497	16,529	11,459	7,020	3,474	1,305	366	174
2020.2/4	양천구	한국인	457,953	12,731	20,189	24,534	26,911	29,705	30,941	27,067	32,427	36,257	43,829	40,334	36,635	32,706	23,426	16,490	11,448	7,014	3,469	1,302	365	173
2020.2/4	양천구	등록외국인	4,081	93	86	71	52	260	425	524	440	384	380	495	487	247	71	39	11	6	5	3	1	1
2020.2/4	강서구	계	593,203	19,301	22,972	21,532	24,696	35,338	52,828	50,637	51,945	45,914	47,610	43,736	45,429	44,233	31,465	22,940	15,576	9,593	4,810	1,941	478	229
2020.2/4	강서구	한국인	586,936	19,091	22,807	21,458	24,637	35,114	52,260	49,730	51,181	45,314	47,072	43,072	44,622	43,816	31,314	22,877	15,547	9,577	4,801	1,939	478	229
2020.2/4	강서구	등록외국인	6,267	210	165	74	59	224	568	907	764	600	538	664	807	417	151	63	29	16	9	2	-	-
2020.2/4	구로구	계	436,707	14,646	16,703	15,164	16,374	24,780	33,126	33,506	36,134	33,501	36,287	36,174	37,832	34,200	24,081	18,380	13,135	7,721	3,335	1,151	309	168
2020.2/4	구로구	한국인	405,075	13,520	15,785	14,643	16,076	23,971	31,636	30,434	33,292	30,939	32,902	31,503	31,879	31,246	23,378	18,185	13,079	7,673	3,318	1,143	305	168
2020.2/4	구로구	등록외국인	31,632	1,126	918	521	298	809	1,490	3,072	2,842	2,562	3,385	4,671	5,953	2,954	703	195	56	48	17	8	4	-
2020.2/4	금천구	계	250,554	6,899	7,618	7,085	8,543	15,042	22,774	19,932	18,874	16,714	20,332	22,715	24,513	20,563	13,697	10,302	7,667	4,348	1,942	631	189	174
2020.2/4	금천구	한국인	232,250	6,175	7,002	6,791	8,393	14,689	21,990	18,262	17,283	15,308	18,213	19,800	20,964	18,976	13,324	10,194	7,636	4,334	1,928	629	186	173
2020.2/4	금천구	등록외국인	18,304	724	616	294	150	353	784	1,670	1,591	1,406	2,119	2,915	3,549	1,587	373	108	31	14	14	2	3	1
2020.2/4	영등포구	계	405,154	13,770	13,758	11,855	13,572	22,723	37,437	37,659	35,565	29,475	32,270	33,013	34,458	29,528	20,046	15,431	11,718	7,514	3,548	1,176	366	272
2020.2/4	영등포구	한국인	373,349	12,739	12,767	11,266	13,243	22,027	36,058	34,694	32,793	26,970	28,885	28,209	28,216	26,506	19,329	15,217	11,652	7,464	3,522	1,160	360	272
2020.2/4	영등포구	등록외국인	31,805	1,031	991	589	329	696	1,379	2,965	2,772	2,505	3,385	4,804	6,242	3,022	717	214	66	50	26	16	6	-
2020.2/4	동작구	계	406,776	11,989	14,150	13,208	15,861	30,959	40,265	33,133	32,016	29,450	31,848	30,630	30,703	28,525	20,789	16,742	12,866	7,980	3,601	1,378	372	311
2020.2/4	동작구	한국인	395,165	11,766	13,977	13,103	15,641	28,340	38,654	32,059	31,238	28,840	31,114	29,594	29,292	27,780	20,616	16,696	12,844	7,962	3,594	1,375	372	308
2020.2/4	동작구	등록외국인	11,611	223	173	105	220	2,619	1,611	1,074	778	610	734	1,036	1,411	745	173	46	22	18	7	3	-	3
2020.2/4	관악구	계	516,318	11,248	13,325	13,198	17,130	41,714	71,236	50,936	40,725	34,489	37,726	36,439	36,694	34,117	25,771	20,851	16,123	8,926	3,681	1,321	352	316
2020.2/4	관악구	한국인	499,740	10,791	12,947	12,978	16,863	40,519	69,183	48,908	39,292	33,397	36,380	34,531	34,232	32,863	25,455	20,754	16,095	8,905	3,666	1,314	351	316
2020.2/4	관악구	등록외국인	16,578	457	378	220	267	1,195	2,053	2,028	1,433	1,092	1,346	1,908	2,462	1,254	316	97	28	21	15	7	1	-
2020.2/4	서초구	계	433,062	13,976	21,307	22,774	22,868	25,718	31,131	31,005	35,460	37,490	41,538	34,454	29,204	27,074	20,315	16,204	10,974	6,375	3,163	1,389	423	220
2020.2/4	서초구	한국인	428,919	13,871	21,116	22,619	22,766	25,504	30,647	30,414	34,896	37,008	41,137	34,141	28,916	26,926	20,261	16,183	10,960	6,366	3,160	1,386	423	219
2020.2/4	서초구	등록외국인	4,143	105	191	155	102	214	484	591	564	482	401	313	288	148	54	21	14	9	3	3	-	1
2020.2/4	강남구	계	546,158	14,458	23,437	28,574	30,919	34,065	42,394	40,899	44,562	47,130	53,206	44,502	36,071	32,844	25,685	20,142	13,414	7,554	3,819	1,705	494	284
2020.2/4	강남구	한국인	541,233	14,398	23,366	28,530	30,815	33,634	41,458	39,968	43,903	46,679	52,856	44,193	35,794	32,681	25,609	20,109	13,398	7,545	3,817	1,703	494	283
2020.2/4	강남구	등록외국인	4,925	60	71	44	104	431	936	931	659	451	350	309	277	163	76	33	16	9	2	2	-	1
2020.2/4	송파구	계	678,067	23,344	29,115	28,804	31,399	41,401	54,679	55,505	59,117	53,948	57,023	53,527	51,501	48,004	34,693	23,930	15,593	9,042	4,731	1,915	511	285
2020.2/4	송파구	한국인	671,512	23,170	28,918	28,691	31,338	41,101	54,027	54,593	58,305	53,416	56,380	52,802	50,670	47,586	34,581	23,892	15,574	9,031	4,728	1,913	511	285
2020.2/4	송파구	등록외국인	6,555	174	197	113	61	300	652	912	812	532	643	725	831	418	112	38	19	11	3	2	-	-
2020.2/4	강동구	계	461,547	15,625	19,485	19,087	20,556	27,203	34,780	33,867	38,912	36,444	37,971	36,532	37,358	35,985	25,672	18,014	11,861	6,753	3,365	1,456	379	242
2020.2/4	강동구	한국인	457,164	15,503	19,373	19,016	20,486	26,980	34,348	33,355	38,437	36,057	37,547	36,024	36,750	35,670	25,598	17,983	11,850	6,748	3,364	1,455	379	241
2020.2/4	강동구	등록외국인	4,383	122	112	71	70	223	432	512	475	387	424	508	608	315	74	31	11	5	1	1	-	1
